Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7214,Auto Lyon Reparation,"
32 Chem. de Chantegrillet, 69110 Sainte-Foy-lès-Lyon, France",Lyon,concessionnaires_auto,,+33472570786,,0,concessionnaires_auto,web,5,,Aucun site — création,a_contacter,,
7215,Williamson Automobiles,"
11-13 Av. de Friedland, 75008 Paris, France",Paris,concessionnaires_auto,https://www.williamson-automobiles.com/,+33186042856,contact@williamson-automobiles.com,0,concessionnaires_auto,web,1,5,no_og(+5),,,
7216,BK Luxury Paris,"
10 Pl. Vendôme, 75001 Paris, France",Paris,concessionnaires_auto,http://bkluxury.fr/,+33173024997,contact@bkluxury.com,0,concessionnaires_auto,web,1,10,no_favicon(+5); no_og(+5),,,
7217,Garage Cabias - Motrio,"
2 Av. Cabias, 69004 Lyon, France",Lyon,concessionnaires_auto,https://motrio.fr/shop/GARAGE%20CABIAS/ESTFRA22.03C2F7,+33478270075,,0,concessionnaires_auto,web,35,,motrio.fr = réseau Motrio — grand compte,a_verifier,,
7218,LOCARSON PARIS 11 Concessionnaire Peugeot-Citroën,"
166 Rue de Charonne, 75011 Paris, France",Paris,concessionnaires_auto,https://concessions.peugeot.fr/locarson/?location=PARIS%7C0,+33140091010,,0,concessionnaires_auto,web,35,,concessions.peugeot.fr = réseau marque — grand compte,a_verifier,,
7219,BMW BYmyCAR PARIS,"
101 bis Av. du Général Michel Bizot, 75012 Paris, France",Paris,concessionnaires_auto,https://www.bymycar.fr/concessions/bmw-paris-bymycar?utm_campaign=bouton&utm_medium=organic&utm_source=GMB,+33140359292,,0,concessionnaires_auto,web,35,,bymycar.fr = groupe BYmyCAR — grand compte,a_verifier,,
7220,KETIF,"
18 Rue Jean Chevailler, 69008 Lyon, France",Lyon,concessionnaires_auto,https://www.lyonsanspermis.fr/,+33478000555,contact@lyonsanspermis.fr,0,concessionnaires_auto,web,1,0,Site moderne,,,
7221,Point S - Lyon 3ème (Auto Pneus Armanet),"
19 Rue François Garcin, 69003 Lyon, France",Lyon,concessionnaires_auto,https://www.points.fr/centre/auto-pneus-armanet-lyon/?utm_source=google&utm_medium=organic&utm_campaign=gmb_Auto-Pneus-Armanet-Lyon,+33478952574,,0,concessionnaires_auto,web,35,,points.fr = réseau Point S — grand compte,a_verifier,,
7222,CHOPARD,"
89 Rue Marietton, 69009 Lyon, France",Lyon,concessionnaires_auto,https://www.groupechopard.com/aston-martin/contact/aston-martin-lyon/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=concession-aston-martin-lyon,+33437480707,,0,concessionnaires_auto,web,35,,groupechopard.com = groupe Chopard — grand compte,a_verifier,,
7223,Garage Il Primo,"
161 Bd de Stalingrad, 69006 Lyon, France",Lyon,concessionnaires_auto,https://ilprimo.autofirst-france.fr/travail?utm_source=google&utm_medium=GBP-lien-rdv,+33437420990,reseau@autofirst-france.fr,0,concessionnaires_auto,web,35,,ilprimo.autofirst-france.fr = réseau Autofirst — grand compte,a_verifier,,
