Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7319,Vousfinancer Lyon 5 et 9,"
1 Rue Marietton, 69009 Lyon, France",Lyon,courtage,https://courtier.vousfinancer.com/lyon/vousfinancer-lyon-5-et-9-192,+33482913186,contact@vousfinancer.com,0,courtage,web,35,,vousfinancer.com = réseau Vousfinancer — grand compte,a_verifier,,
7320,Patrimoine et Financement - Courtier en prêts immobiliers,"
4 Rue de Franche Comté, 75003 Paris, France",Paris,courtage,https://www.patrimoinefinancement.fr/votre-courtier-en-credit-immobilier-a-paris/,+33142746530,,0,courtage,web,1,5,no_og(+5),,,
7321,KARAM,"
83 Rue Lamarck, 75018 Paris, France",Paris,courtage,https://www.lacentraledefinancement.fr/,+33184212090,,0,courtage,web,35,,lacentraledefinancement.fr = réseau — grand compte,a_verifier,,
7322,My Finance Courtier Lyon 2,"
51 Rue du Président Édouard Herriot, 69002 Lyon, France",Lyon,courtage,https://www.my-finance.fr/,+33428292522,contact@my-finance.fr,0,courtage,web,1,5,no_favicon(+5),,,
7323,Courtier en prêts hypothécaires MMPI Lyon - Saint-Didier-au-Mont-d'Or,"
11 Rue Voie Lactée, 69370 Saint-Didier-au-Mont-d'Or, France",Lyon,courtage,http://www.monmeilleurpretimmobilier.com/,+33660863684,,0,courtage,web,2,20,pas_https(+15); no_og(+5),a_verifier,,
7324,KARAM,"
55 Rue la Bruyère, 75009 Paris, France",Paris,courtage,https://www.lacentraledefinancement.fr/agences/pret-immobilier-paris-75009/,+33185084008,,0,courtage,web,35,,lacentraledefinancement.fr = réseau — grand compte,a_verifier,,
7325,RÉCLAMATION,"
53 ter Bd de Picpus, 75012 Paris, France",Paris,courtage,https://www.empruntis.com/agences/courtier-immobilier-paris-12-nation-619.php,+33140214723,,0,courtage,web,35,,empruntis.com = réseau Empruntis — grand compte,a_verifier,,
7326,Crédit expert by Artemis Courtage - Lyon,"
31 Cr Vitton, 69006 Lyon, France",Lyon,courtage,https://www.creditexpert.fr/courtier-immobilier/lyon/,+33426630540,,0,courtage,web,1,0,Site moderne,,,
7327,OBJECTIF TAUX courtier en prêt immobilier et assurance de prêt Paris,"
45/47 Rue Villiers de l'Isle Adam, 75020 Paris, France",Paris,courtage,http://objectiftaux.fr/,+33175438366,info@objectiftaux.fr,0,courtage,web,2,20,pas_https(+15); no_og(+5),a_verifier,,
7328,Emérite Financements & Assurances - Courtier en crédit immobilier et professionnel,"
14 Rue de Moscou, 75008 Paris, France",Paris,courtage,https://outlook.office.com/book/EmriteFinancementParisEurope@emerite-groupe.com/?ismsaljsauthenabled,+33182833160,,0,courtage,web,2,,"outlook.office.com/book = réservation, pas de site propre",a_verifier,,
7329,Manuel Bardoz Courtier en prêt immobilier à Paris,"
4 Pl. Louis Armand, 75012 Paris, France",Paris,courtage,http://www.mbcourtagepatrimoine.com/,+33613906334,admin@mbcourtage-patrimoine.com,0,courtage,web,1,15,pas_https(+15),,,
7330,BREJON,"
82 Cr Gambetta, 69007 Lyon, France",Lyon,courtage,https://www.rachatcreditconseil.com/,+33472716868,etude@espacefinances.fr,0,courtage,web,1,0,Site moderne,,,
7331,IMMOFINANCES Lyon | Courtier en prêt immobilier & assurance crédit à Lyon (69),"
10-12 Bd Marius Vivier Merle, 69003 Lyon, France",Lyon,courtage,,+33684986287,,0,courtage,web,2,,"Aucun site, aucun contact — à vérifier (GMB)",a_verifier,,
7332,Credissimmo Paris Auteuil- prêt immobilier,"
82 Rue Chardon Lagache, 75016 Paris, France",Paris,courtage,http://www.credissimmo.fr/,+33188334188,,0,courtage,web,3,65,non_responsive(+40); pas_https(+15); no_favicon(+5); no_og(+5),a_contacter,,
7333,BEUVELET,"
51 Av. Franklin Delano Roosevelt, 75008 Paris, France",Paris,courtage,https://www.inandfi-credits.fr/courtier/paris-roosevelt,+33613264670,,0,courtage,web,35,,inandfi-credits.fr = réseau In&Fi — grand compte,a_verifier,,
7334,RÉCLAMATION,"
112 Av. Ledru Rollin, 75011 Paris, France",Paris,courtage,https://www.empruntis.com/agences/courtier-immobilier-paris-11-bastille-1049.php,+33184796059,,0,courtage,web,35,,empruntis.com = réseau Empruntis — grand compte,a_verifier,,
7335,YMANCI PARIS 09 COURTIER EN CREDIT IMMOBILIER,"
88 Rue de Provence, 75009 Paris, France",Paris,courtage,https://ymanci.fr/agences/courtier-paris-9,+33623919143,,0,courtage,web,35,,ymanci.fr = réseau Ymanci — grand compte,a_verifier,,
7336,Meilleurtaux Paris 1 courtier en crédit immobilier,"
49 Rue Saint-Roch, 75001 Paris, France",Paris,courtage,https://www.meilleurtaux.com/a-propos-de-meilleurtaux/toutes-nos-agences-en-france/courtier-paris-1.html,+33140139999,,0,courtage,web,35,,meilleurtaux.com = réseau Meilleurtaux — grand compte,a_verifier,,
7337,"Prelys Courtage, Courtier immobilier à Paris","
44 Rue des Entrepreneurs, 75015 Paris, France",Paris,courtage,https://www.courtier-immobilier.paris/,+33980800401,,0,courtage,web,1,5,no_favicon(+5),,,
7338,KARAM,"
24 Rue de la République, 69002 Lyon, France",Lyon,courtage,https://www.lacentraledefinancement.fr/agences/pret-immobilier-lyon-69000/,+33482535222,,0,courtage,web,35,,lacentraledefinancement.fr = réseau — grand compte,a_verifier,,
7339,ZEPRET courtier en crédit immobilier,"
24 Rue Visconti, 75006 Paris, France",Paris,courtage,http://www.zepret.fr/,+33667498858,,0,courtage,web,2,20,pas_https(+15); no_favicon(+5),a_verifier,,
7340,PIERRE,"
11 Rue de la Chine, 75020 Paris, France",Paris,courtage,"https://www.empruntis-agence.com/nos-agences/informations-courtage-immobilier-paris-20-est,549",+33142236610,,0,courtage,web,35,,empruntis-agence.com = réseau Empruntis — grand compte,a_verifier,,
7341,HelloPrêt,"
9 Rue Scribe, 75009 Paris, France",Paris,courtage,https://www.doctolib.fr/osteopathe/paris/camille-rustant?pid=practice-760258&utm_source=google_appointment_redirect&utm_campaign=gmb&utm_medium=organic&rwg_token=AFd1xnGVY9nYGJJx8ZYmw4XLxET2ytuu2X2_MiGfrGScNoxFcbXpQ6VLby1-B5GG_OzWVzZxOCCJRFibBOZqHSetoMxmGtASXw%3D%3D,,,0,courtage,web,35,,doctolib.fr = plateforme RDV — pas de site propre,a_verifier,,
7342,BEUVELET,"
6 bis Rue Masaryk, 69009 Lyon, France",Lyon,courtage,https://www.inandfi-credits.fr/courtier/lyon-ouest,+33478354617,,0,courtage,web,35,,inandfi-credits.fr = réseau In&Fi — grand compte,a_verifier,,
7343,Artémis courtage Paris - Courtier en crédit immobilier et assurance emprunteur,"
8-10 R. du Renard, 75004 Paris, France",Paris,courtage,https://www.artemiscourtage.com/simulateurs-de-credits/credit-immobilier/,+33185731777,hello@artemiscourtage.com,0,courtage,web,3,45,non_responsive(+40); no_favicon(+5),a_contacter,,
