Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7873,BERTHET,"
25 Rue du Plat, 69002 Lyon, France",Lyon,immobilier,http://omnium1947.com/,+33478425317,accueil@omnium1947.com,0,immobilier,web,3,65,non_responsive(+40); pas_https(+15); no_favicon(+5); no_og(+5),a_contacter,,
7874,JÉHANNO,"
37 Gd Rue de la Croix-Rousse, 69004 Lyon, France",Lyon,immobilier,https://www.laforet.com/agence-immobiliere/lyon4?utm_source=google&utm_medium=mybusiness,+33472000030,contact-laforet@laforet.com,0,immobilier,web,35,,laforet.com = réseau Laforêt — grand compte,a_verifier,,
7875,KLABA,"
14 Quai du Général Sarrail, 69006 Lyon, France",Lyon,immobilier,https://www.barnes-lyon.com/,+33478159090,lyon@barnes-international.com,0,immobilier,web,35,,barnes-lyon.com = réseau Barnes — grand compte,a_verifier,,
7876,SALAH,"
172 Rue Challemel-Lacour, 69008 Lyon, France",Lyon,immobilier,https://www.human-immobilier.fr/lyon-moulin-a-vent?utm_campaign=google_my_business_achat&utm_medium=seo&utm_source=google,+33472784040,dpo@human-immobilier.fr,0,immobilier,web,35,,human-immobilier.fr = réseau Human Immobilier — grand compte,a_verifier,,
7877,Immobilière de l'Est,"
16 Rue Saint-Firmin, 69008 Lyon, France",Lyon,immobilier,https://www.immobilieredelest.fr/nous-contacter.htm?utm_source=gmb&utm_medium=contact&utm_campaign=ie-lyon,+33478781560,,0,immobilier,web,1,10,no_og(+5); no_webp(+5),,,
7878,CHARLES-MARIE,"
2 Rue Vavin, 75006 Paris, France",Paris,immobilier,https://danielfeau.com/fr/detail-agence-immobiliere/11554,+33184796810,,0,immobilier,web,35,,danielfeau.com = réseau Daniel Féau — grand compte,a_verifier,,
7879,Alexandre SCHMIDT consultant immobilier We Invest DHG Conseil,"
35 Av. Lacassagne, 69003 Lyon, France",Lyon,immobilier,https://weinvest.fr/agence/we-invest-dhg-conseil-82,+33671030495,,0,immobilier,web,35,,weinvest.fr = réseau WeInvest — grand compte,a_verifier,,
7880,GUILLAUME,"
65 Av. Gambetta, 75020 Paris, France",Paris,immobilier,https://www.orpi.com/gambetta/nous-contacter/,+33140338464,orpifrance@orpi.com,0,immobilier,web,35,,orpi.com = réseau Orpi — grand compte,a_verifier,,
7881,ERWAN,"
51 Av. du Point du Jour, 69005 Lyon, France",Lyon,immobilier,https://www.lamy-immobilier.fr/nos-agences-immobilieres/rhone-69/lyon-69005/lamy-lyon-point-du-jour,+33472743214,,0,immobilier,web,35,,lamy-immobilier.fr = réseau Lamy — grand compte,a_verifier,,
7882,PARIS SEINE IMMOBILIER - Agence Cherche-Midi,"
59 Rue du Cherche-Midi, 75006 Paris, France",Paris,immobilier,https://www.paris-seine-immobilier.com/content/22/evaluez-votre-bien-avec-paris-seine.html,+33145446600,vente@paris-seine-immobilier.com,0,immobilier,web,1,5,no_webp(+5),,,
7883,DÉPLOIE,"
11 Quai des Célestins, 69002 Lyon, France",Lyon,immobilier,https://www.lesadressesconfidentielles.com/,+33478893921,,0,immobilier,web,35,,lesadressesconfidentielles.com = réseau — grand compte,a_verifier,,
7884,Reina Immobilier,"
15 Av. de Saint-Julien, 13012 Marseille, France",Marseille,immobilier,http://www.reinaimmo.com/,+33491432585,contact@reinaimmo.com,0,immobilier,web,2,20,pas_https(+15); no_webp(+5),a_verifier,,
7885,DÉPLOIE,"
4 Av. Philippe Auguste, 75011 Paris, France",Paris,immobilier,https://www.dome-immobilier.fr/,+33143736051,,0,immobilier,web,1,0,Site moderne,,,
7886,IMMOBILIER,"
108 Cours Dr Long, 69003 Lyon, France",Lyon,immobilier,http://www.victoire-immo.fr/,+33437912777,contact@victoire-immo.fr,0,immobilier,web,1,15,pas_https(+15),,,
7887,L'Agence Bac Saint Germain Immo Paris 7eme,"
7 Bd Raspail, 75007 Paris, France",Paris,Agence,,+33142223030,,0,Agence,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7888,GAGNON,"
10 Pl. Carnot, 69002 Lyon, France",Lyon,immobilier,http://www.eraimmobilier.com/agence-immobiliere-lyon-2-316,+33426493838,,0,immobilier,web,35,,eraimmobilier.com = réseau ERA — grand compte,a_verifier,,
7889,Agence immobilière Laforêt Lyon 2Eme,"
24 bis Pl. Bellecour, 69002 Lyon, France",Lyon,immobilier,https://www.laforet.com/agence-immobiliere/lyon2?utm_source=google&utm_medium=mybusiness,+33478422525,,0,immobilier,web,35,,laforet.com = réseau Laforêt — grand compte,a_verifier,,
7890,Agence Immobilière Paris Immobilier,"
33 Rue Tiquetonne, 75002 Paris, France",Paris,immobilier,http://www.parisimmobilier.fr/,+33153409444,,0,immobilier,web,1,15,pas_https(+15),,,
7891,SUITHOME immobilier Lyon,"
34 Bd des Brotteaux, 69006 Lyon, France",Lyon,immobilier,https://www.suithome.fr/contact.html,+33437240889,,0,immobilier,web,1,5,no_favicon(+5),,,
