Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7421,Centre de formation ALERTIS PARIS EST,"
21 Rue Soleillet, 75020 Paris, France",Paris,ecoles_formation,https://www.alertis.fr/nos-centres/paris,+33189708946,info@alertis.fr,0,ecoles_formation,web,35,,alertis.fr = réseau national — grand compte,a_verifier,,
7422,I,"
6 Rue Guillaume Bertrand, 75011 Paris, France",Paris,ecoles_formation,http://labeerfabrique.com/,+33171277102,labeerfabrique@gmail.com,0,ecoles_formation,web,1,15,pas_https(+15),,,
7423,PEYRARD,"
47 Rue de la Chau. d'Antin, 75009 Paris, France",Paris,ecoles_formation,https://etoiles.academy/,+33782864830,eric@etoiles.academy,0,ecoles_formation,web,1,0,Site moderne,,,
7424,ÉRIC,"
46 Rue du Faubourg Saint-Martin, 75010 Paris, France",Paris,ecoles_formation,https://www.belformation.fr/contact/,+33177378024,,0,ecoles_formation,web,1,0,Site moderne,,,
7425,RIOCHE,"
22 Pl. de Catalogne, 75014 Paris, France",Paris,ecoles_formation,https://www.gereso.com/,+33800400460,dpo@gereso.fr,0,ecoles_formation,web,35,,gereso.com = grand compte,a_verifier,,
7426,CNFCE - Rouelle : Organisme de formation à Paris,"
42 Rue Rouelle, 75015 Paris, France",Paris,ecoles_formation,https://www.cnfce.com/,+33181222218,,0,ecoles_formation,web,35,,cnfce.com = grand compte,a_verifier,,
7427,CFPL,"
54 Rue Clément Marot, 69007 Lyon, France",Lyon,ecoles_formation,https://cfpl-lyon.fr/,+33472710963,cfpl@cfpl-lyon.fr,0,ecoles_formation,web,1,5,no_webp(+5),,,
7428,Epsilon Mélia - Formation continue social et médico-social,"
22 Rue René Boulanger, 75010 Paris, France",Paris,ecoles_formation,https://www.epsilonmelia.com/,+33142576120,,0,ecoles_formation,web,1,0,Site moderne,,,
7429,Optedif formation,"
80 Cours Dr Long, 69003 Lyon, France",Lyon,ecoles_formation,https://fr.optedif-formation.fr/,+33972652484,,0,ecoles_formation,web,1,0,Site moderne,,,
7430,AQSE Conseil Formation Paris,"
4 Pl. Louis Armand, 75012 Paris, France",Paris,ecoles_formation,https://www.aqse-formation-cse.fr/,+33156934616,,0,ecoles_formation,web,1,5,no_og(+5),,,
7431,Gecia Formation,"
7 Rue Léo Delibes, 75016 Paris, France",Paris,ecoles_formation,http://www.geciaformation.net/,+33177152772,,0,ecoles_formation,web,1,15,pas_https(+15),,,
7432,Institut Aritas formation,"
86 Rue Cardinet, 75017 Paris, France",Paris,ecoles_formation,http://www.aritasgroupe.fr/?utm_source=gmb,+33142934882,contact@aritasgroupe.fr,0,ecoles_formation,web,2,25,pas_https(+15); no_favicon(+5); no_og(+5),a_verifier,,
7433,Goodwill Accompagnement / Cifep Lyon,"
30 Rue de la Baïsse, 69100 Villeurbanne, France",Lyon,ecoles_formation,http://www.cifeplyon.fr/,+33427027468,,0,ecoles_formation,web,3,40,pas_https(+15); generator_Wix.com Website Builder(+20); no_og(+5),a_contacter,,
7434,Lyon Formations,"
1 Pl. Gensoul, 69002 Lyon, France",Lyon,ecoles_formation,http://www.lyonformation.com/,+33478382031,sophie.roquette@lyonformation.com,0,ecoles_formation,web,2,25,pas_https(+15); no_favicon(+5); no_og(+5),a_verifier,,
