Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7654,Bistro des Lettres,35 quai Grenelle 75015 Paris Adresse e-mail,paris,Restaurant,http://www.bistrodeslettres.com/,,marketing@laromegroup.com,69,Restaurant,web,35,,laromegroup.com = groupe Larome — grand compte,a_verifier,,
7655,La Brigade - Opéra - Restaurant Paris centre,17 rue aux ours 75003 Paris,paris,Restaurant de viande,https://www.la-brigade.fr/,0275385201,contact@la-brigade.fr,,Restaurant de viande,web,35,,la-brigade.fr = réseau La Brigade — grand compte,a_verifier,,
7656,L'Initial,,paris,Restaurant gastronomique,http://restaurant-linitial.fr/,,,88,Restaurant gastronomique,web,1,15,pas_https(+15),,,
7657,JEAN-EUDES,58 boulevard de Sebastopol 75003 PARIS France CICERONE SAS est une SAS au capital de,paris,Restaurant français,https://www.sacrefrenchy.com/,,,0,Restaurant français,web,1,0,Site moderne,,,
7658,Le Bel Canto – Restaurant Lyrique Paris,"72 Quai de l'Hôtel de ville, 75004 Paris, France",paris,Restaurant,https://widget.thefork.com/fr/144e3cdd-b463-4d63-a7f7-f1c7f617ac84?utm_source=lebelcanto.com,+33 1 42 78 30 18,,,Restaurant,web,2,,thefork.com = plateforme — pas de site propre,a_verifier,,
7659,SHAHIR,,paris,Restaurant français,http://www.restaurantchouchouparis.fr/,0145080203,restauchouchou@gmail.com,0,Restaurant français,web,2,25,pas_https(+15); no_og(+5); no_webp(+5),a_verifier,,
7660,Le Colimaçon marais,"44 Rue Vieille du Temple, 75004 Paris, France",paris,Restaurant français,https://le-colimacon.fr/,0993317495,contactcolimacon@gmail.com,0,Restaurant français,web,1,5,no_favicon(+5),,,
7661,Donna,"157 Rue Saint-Martin, 75003 Paris, France",parisien,Bar à vin,https://www.donna-paris.com/,0660194828,,41,Bar à vin,web,1,5,no_webp(+5),,,
7662,CHEZ HAKI,"43 Rue des Gravilliers, 75003 Paris, France",parisien,Restaurant de nouilles,https://chezhaki.fr/fr/,0987362943,,93,Restaurant de nouilles,web,1,10,no_favicon(+5); no_og(+5),,,
7663,LELUC,"57 Rue de Bretagne, 75003 Paris, France",parisien,Restaurant,https://bontemps.paris/jardin-secret/,0142741155,contact@bontemps.paris,28.999999999999996,Restaurant,web,1,5,no_favicon(+5),,,
7664,Les Vitelloni,"4 Rue Dupetit-Thouars, 75003 Paris, France",parisien,Restaurant italien,http://www.lesvitelloni.com/,+33 1 48 87 38 45,lesvitelloni@lesvitelloni.com,0,Restaurant italien,web,2,20,pas_https(+15); no_webp(+5),a_verifier,,
7665,Le Carreau,"5 Rue de la Corderie, 75003 Paris, France",parisien,Restaurant,http://www.bistrolecarreau.fr/menu,+33 9 52 33 24 26,bistro.lecarreau@gmail.com,0,Restaurant,web,3,50,non_responsive(+40); no_favicon(+5); no_og(+5),a_contacter,,
7666,Dessance,"74 Rue des Archives, 75003 Paris, France",parisien,Restaurant gastronomique,http://www.dessance.com/,+33 1 42 77 23 62,contact@dessance.com,0,Restaurant gastronomique,web,3,60,non_responsive(+40); pas_https(+15); no_favicon(+5),a_contacter,,
7667,ORTO PARIS,"75 Rue des Gravilliers, 75003 Paris, France",parisien,Restaurant italien,http://www.orto.fr/,0999999999,contact@orto.fr,72,Restaurant italien,web,3,40,pas_https(+15); generator_Wix.com Website Builder(+20); no_og(+5),a_contacter,,
7668,Le Marais Restaurant Paris,"47 R. de Turbigo, 75003 Paris, France",parisien,Restaurant méditerranéen,https://www.privateaser.com/lieu/44897-le-marais-restaurant,+33 9 87 36 09 13,,46,Restaurant méditerranéen,web,2,,privateaser.com = plateforme — pas de site propre,a_verifier,,
7669,MÛRE,"6 Rue Saint-Marc, 75002 Paris, France",parisien,Restaurant biologique,https://www.mure.family/,0223337494,contact@mure.family,72,Restaurant biologique,web,2,25,generator_Wix.com Website Builder(+20); no_og(+5),a_verifier,,
7670,Dalmata Paris 2,"8 Rue Tiquetonne, 75002 Paris, France",parisien,Pizzeria,https://www.gruppodalmata.com/,+33 7 56 79 93 79,contact@dalmata.co,,Pizzeria,web,35,,gruppodalmata.com = réseau Dalmata — grand compte,a_verifier,,
7671,Shana,"14 Rue Saint-Sauveur, 75002 Paris, France",parisien,Restaurant,https://www.shosh-shana.com/,0769624236,contact@shosh-shana.com,,Restaurant,web,2,25,generator_Wix.com Website Builder(+20); no_og(+5),a_verifier,,
7672,MANO,"112 Rue Montmartre, 75002 Paris, France",parisien,Restaurant italien,https://alla-mano-paris.fr/fr,0618734547,,,Restaurant italien,web,1,5,no_og(+5),,,
7673,Zinqué,"34 Rue Étienne Marcel, 75002 Paris, France",parisien,Restaurant,https://lezinque.fr/,+33 9 74 73 54 13,,,Restaurant,web,1,0,Site moderne,,,
7674,Club Cochon,"38 Pass. des Panoramas, 75002 Paris, France",parisien,Restaurant,https://clubcochon.com/,+33 1 88 61 15 75,,0,Restaurant,web,1,0,Site moderne,,,
7675,IMMATRICULÉE,"22 Rue du 4 septembre, 75002 Paris, France",parisien,Restaurant,https://chimere-4septembre.fr/,+33 1 44 90 91 94,contact@chimere-4septembre.fr,,Restaurant,web,4,100,erreur 503 persistante (site cassé),a_contacter,,
7676,Tekés,"4 bis Rue Saint-Sauveur, 75002 Paris, France",parisien,Restaurant végétarien,http://www.tekesrestaurant.com/,+33 7 81 42 54 74,,,Restaurant végétarien,web,2,40,pas_https(+15); generator_Wix.com Website Builder(+20); no_og(+5),a_verifier,,
