Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7738,ICH,"9 Rue des Petits Champs, 75001 Paris, France",paris,Restaurant vietnamien,http://comrestoviet.com/,0635351646,,,Restaurant vietnamien,web,1,15,pas_https(+15),,,
7739,Le Comptoir des Petits Champs,"17 Rue des Petits Champs, 75001 Paris, France",paris,Bistro,https://www.lecomptoirdespetitschamps.fr/,0142964754,,,Bistro,web,1,5,no_webp(+5),,,
7740,Le Relais Du Vin - Paris,"85 Rue St Denis, 75001 Paris, France",paris,Restaurant français,https://lerelaisduvin.com/,0924124006,,,Restaurant français,web,1,5,no_og(+5),,,
7741,Alfred,"8 Rue du Mont Thabor, 75001 Paris, France",paris,Restaurant français,http://alfred-paris.com/,0140264627,contact@alfred-paris.com,,Restaurant français,web,3,40,pas_https(+15); generator_Wix.com Website Builder(+20); no_og(+5),a_contacter,,
7742,1er Art,"42 Rue Coquillière, 75001 Paris, France",paris,Bistro,,+33 1 42 36 69 11,,,Bistro,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7743,LA RÉGALADE,"106 Rue Saint-Honoré, 75001 Paris, France",paris,Restaurant français,http://www.laregalade.paris/,0802007273,contactstho@laregalade.paris,,Restaurant français,web,3,65,non_responsive(+40); pas_https(+15); no_favicon(+5); no_og(+5),a_contacter,,
7744,Louise,"8 Rue Croix des Petits Champs, 75001 Paris, France",paris,Brasserie,http://www.cafelouisepalaisroyal.com/,+33 1 83 96 07 87,contact@cafelouisepalaisroyal.com,,Brasserie,web,2,25,pas_https(+15); no_favicon(+5); no_og(+5),a_verifier,,
7745,Le Petit Châtelet,"39 Rue de la Bûcherie, 75005 Paris, France",paris,Restaurant français,https://restaurantlepetitchatelet.com/,0146335340,,,Restaurant français,web,1,15,no_favicon(+5); no_og(+5); no_webp(+5),,,
7746,Le Florentin,"10 Rue Saint-Florentin, 75001 Paris, France",paris,Restaurant français,https://www.leflorentinbistrot.com/,0142601342,,,Restaurant français,web,1,5,no_favicon(+5),,,
7747,Les Parigots,"5 Rue du Château d'Eau, 75010 Paris, France",paris,Restaurant français,https://www.lesparigots.fr/,+33 1 42 00 22 26,contact.lesparigots@gmail.com,21,Restaurant français,web,1,5,no_webp(+5),,,
7748,Le Sens Unique,"47 Rue de Ponthieu, 75008 Paris, France",paris,Restaurant français,https://www.restaurant-lesensunique.paris/,+33 1 43 59 76 77,contact@restaurant-lesensunique.paris,64,Restaurant français,web,1,0,Site moderne,,,
7749,Chez Loulou,"63 Rue Rambuteau, 75004 Paris, France",paris,Bistro,https://bistrotchezloulou.com/,0(0)142773730,,0,Bistro,web,1,0,Site moderne,,,
7750,Qasti,"205 Rue Saint-Martin, 75003 Paris, France",parisien,Restaurant libanais,https://www.qasti.fr/,0145303163,contact@qasti.fr,46,Restaurant libanais,web,1,5,no_og(+5),,,
7751,A. Noste,"6 bis Rue du 4 septembre, 75002 Paris, France",parisien,Restaurant de tapas,https://www.a-noste.com/,+33 1 47 03 91 91,aurelie.dartiguelongue@a-noste.com,72,Restaurant de tapas,web,4,100,site 404 (cassé/injoignable),a_contacter,,
7752,Le Compas,"62 Rue Montorgueil, 75002 Paris, France",parisien,Restaurant français,http://www.lecompas-restaurant.com/,+33 1 42 33 94 73,lecompas.paris@gmail.com,,Restaurant français,web,4,100,connexion SSL impossible (site cassé),a_contacter,,
7753,Le Mesturet,"77 Rue de Richelieu, 75002 Paris, France",parisien,Restaurant français,https://www.lemesturet.com/?utm_source=gmb,0142974068,contact@lemesturet.com,,Restaurant français,web,1,5,no_favicon(+5),,,
7754,JEAN-BAPTISTE,"12 Rue de Richelieu, 75001 Paris, France",parisien,Restaurant de nouilles (ramen),https://kodawari-ramen.com/,0143293767,contact@kodawari-ramen.com,,Restaurant de nouilles (ramen),web,1,0,Site moderne,,,
7755,COME PRIMA by OSKIAN Restaurant Italien Paris 1,"139 Rue Saint-Honoré, 75001 Paris, France",parisien,Restaurant italien,https://come-prima.webflow.io/,0142602380,reservationcomeprima@gmail.com,,Restaurant italien,web,2,,site sur domaine plateforme (webflow.io) — pas de domaine propre,a_verifier,,
7756,Le Bistrot des Halles,"15 Rue des Halles, 75001 Paris, France",parisien,Bistro,,+33 1 42 36 91 69,,,Bistro,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7757,Brasserie de la Bourse,"27 Rue Jean-Jacques Rousseau, 75001 Paris, France",parisien,Brasserie,http://www.brasseriedelabourseparis.com/,0999999999,brasseriedelabourse@gmail.com,,Brasserie,web,3,40,pas_https(+15); generator_Wix.com Website Builder(+20); no_og(+5),a_contacter,,
7758,PATRICK,"1 Rue Perrault, 75001 Paris, France",parisien,Bistro,http://www.louvre-ripaille.com/reservation/,+33 1 42 97 49 91,restaurant@louvre-ripaille.com,,Bistro,web,4,100,DNS introuvable (site cassé),a_contacter,,
7759,MARQUES,"21 Rue des Halles, 75001 Paris, France",parisien,Restaurant,https://carpediem-cafe-paris.fr/,0142210201,,,Restaurant,web,1,0,Site moderne,,,
7760,Café de la Régence,"167 Rue Saint-Honoré, 75001 Paris, France",parisien,Restaurant français,https://menuonline.fr/cafedelaregencebis/coordonnees,0183811610,bruno.bourboulon@menuonline.fr,,Restaurant français,web,2,,menuonline.fr = plateforme — pas de site propre,a_verifier,,
