Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7632,Little Havana - Street Food Paris 02,"67 Rue d'Argout, 75002 Paris, France",paris,Restaurant cubain,https://little-havana.site.bykomdab.com/,0994317136,,,Restaurant cubain,web,2,,site sur domaine plateforme (bykomdab) — pas de site propre,a_verifier,,
7633,Dalia,"93 Rue Montmartre, 75002 Paris, France",paris,Restaurant méditerranéen,https://www.daliagroup.com/dalia-paris,+33 1 53 40 88 13,hellodalia@daliagroup.com,0,Restaurant méditerranéen,web,35,,daliagroup.com = groupe Dalia — grand compte,a_verifier,,
7634,GRUPPOMIMO - Paris 2,"157 Rue Montmartre, 75002 Paris, France",paris,Restaurant italien,https://www.gruppomimo.com/nos-restaurants,0905736012,contact@gruppomimo.com,,Restaurant italien,web,35,,gruppomimo.com = réseau — grand compte,a_verifier,,
7635,Brasserie Rosie Lou,"31 Bd de Bonne Nouvelle, 75002 Paris, France",paris,Brasserie,https://brasseriesalamode.com/brasserie-rosie-lou,0401381810,contact@brasseriesalamode.com,,Brasserie,web,35,,brasseriesalamode.com = réseau — grand compte,a_verifier,,
7636,Brasserie Dubillot,"222 Rue St Denis, 75002 Paris, France",paris,Restaurant français,https://nouvellegardegroupe.com/,+33 1 88 61 51 24,ondiscute@lanouvellegarde.com,0,Restaurant français,web,35,,nouvellegardegroupe.com = groupe — grand compte,a_verifier,,
7637,Restaurant Kei,"5 Rue Coq Héron, 75001 Paris, France",paris,Restaurant français,http://www.restaurant-kei.fr/,0855001069,recrutement.restaurantkei@gmail.com,,Restaurant français,web,35,,restaurant-kei.fr = table étoilée — grand compte,a_verifier,,
7638,Sam Sun 삼순 – Korean Traditional Cuisine,"41 Rue de Richelieu, 75001 Paris, France",paris,Restaurant coréen,https://samsunrestaurant.fr/,0724477532,reserv.restaurantsamsun@gmail.com,,Restaurant coréen,web,1,10,no_favicon(+5); no_og(+5),,,
7639,Les Cartes Postales,"7 Rue Gomboust, 75001 Paris, France",paris,Restaurant français,,+33 1 42 61 23 40,,,Restaurant français,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7640,Uno,"37 Rue Berger, 75001 Paris, France",paris,Restaurant italien,https://unoparis.com/,+33 1 42 36 20 47,,,Restaurant italien,web,2,50,non_responsive(+40); no_favicon(+5); no_og(+5),a_verifier,,
7641,NHOME,"41 Rue de Montpensier, 75001 Paris, France",paris,Restaurant gastronomique,https://nhomeparis.com/,+33 1 89 33 48 43,booking@nhomeparis.com,0,Restaurant gastronomique,web,1,0,Site moderne,,,
7642,OPINION,"20 Rue Saint-Roch, 75001 Paris, France",paris,Restaurant français,http://restaurantlacordonnerie.fr/,0142601742,,,Restaurant français,web,2,20,pas_https(+15); no_og(+5),a_verifier,,
7643,ECLORE,"6 Rue Bailleul, 75001 Paris, France",paris,Restaurant gastronomique,https://granite.paris/,+33 1 40 13 64 06,reservation@granite.paris,0,Restaurant gastronomique,web,1,5,no_webp(+5),,,
7644,CLEMENT,"17 Rue des Lavandières Sainte-Opportune, 75001 Paris, France",paris,Restaurant français,https://www.au-vieux-comptoir.com/,0145085308,contact@au-vieux-comptoir.com,,Restaurant français,web,2,25,generator_Wix.com Website Builder(+20); no_og(+5),a_verifier,,
7645,Restaurant L'Évadé Bistronomie Paris 9,"23 Rue Clauzel, 75009 Paris, France",paris,Restaurant,http://www.levade.fr/,0148787440,,,Restaurant,web,2,20,pas_https(+15); no_webp(+5),a_verifier,,
7646,24 Le restaurant,"24 Rue Jean Mermoz, 75008 Paris, France",paris,Restaurant français,http://24lerestaurant.fr/,0142252424,reservation@24lerestaurant.fr,,Restaurant français,web,3,40,pas_https(+15); generator_Helix Ultimate Joomla(+20); no_og(+5),a_contacter,,
7647,L'Apibo,"31 Rue Tiquetonne, 75002 Paris, France",paris,Restaurant français,http://www.restaurant-lapibo.fr/,0155349450,,,Restaurant français,web,2,20,pas_https(+15); no_webp(+5),a_verifier,,
7648,Restaurant H,"13 Rue Jean Beausire, 75004 Paris, France",paris,Restaurant,https://www.restauranth.com/,0143488096,contact@restauranth.com,,Restaurant,web,1,5,no_webp(+5),,,
7649,AT,"4bis Rue du Cardinal Lemoine, 75005 Paris, France",paris,Restaurant gastronomique,http://www.atsushitanaka.com/,+33 1 56 81 94 08,info@atsushitanaka.com,0,Restaurant gastronomique,web,35,,atsushitanaka.com = table étoilée — grand compte,a_verifier,,
7650,Bonnard - Restaurant végétarien à Paris 3,"18 Rue des Gravilliers, 75003 Paris, France",paris,Restaurant végétarien,https://www.bonnard-marais.com/,0913755825,contact@bonnard-marais.com,,Restaurant végétarien,web,2,20,pas_https(+15); no_favicon(+5),a_verifier,,
7651,Paris j'Adore Hotel & Spa,"7 Rue Beudant, 75017 Paris, France",paris,hotellerie_restauration,https://www.hotelparisjadore.com/?utm_source=google&utm_medium=organic&utm_campaign=knowledge-graph,0153300300,300emotions@hotelparisjadore.com,,hotellerie_restauration,web,35,,hotelparisjadore.com = hôtel — grand compte,a_verifier,,
7652,OKO,"9 Rue Danton, 75006 Paris, France",paris,Restaurant,https://aletinetine.com/,0146330691,,,Restaurant,web,1,0,Site moderne,,,
7653,Restaurant Guy Savoy,"11 Quai de Conti, 75006 Paris, France",paris,Restaurant gastronomique,http://www.guysavoy.com/,+33 1 43 80 40 61,reserv@guysavoy.com,62,Restaurant gastronomique,web,35,,guysavoy.com = table étoilée (3*) — grand compte,a_verifier,,
