Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7446,Compétences et métiers,"
15 Rue Théodule Ribot, 75017 Paris, France",Paris,ecoles_formation,https://www.competences-et-metiers.com/,+33155283615,,0,ecoles_formation,web,1,5,no_favicon(+5),,,
7447,Formation Excel Paris | Formation Bureautique | Kronoscope,"
26 Rue Montorgueil, 75001 Paris, France",Paris,ecoles_formation,https://www.excel-formation.com/,+33983472747,,0,ecoles_formation,web,2,25,generator_Wix.com Website Builder(+20); no_og(+5),a_verifier,,
7448,CCI Formation Pro,"
36 Rue du Sergent Michel Berthet, 69009 Lyon, France",Lyon,ecoles_formation,http://www.cciformationpro.fr/,+33472538800,contact.rouen@luklagroup.com,0,ecoles_formation,web,1,15,pas_https(+15),,,
7449,LOEVEN,"
17 Av. Louis de Broglie, 95310 Saint-Ouen-l'Aumône, France",Paris,ecoles_formation,https://www.ecn-formation.com/,+33130370260,cloeven@ecn-formation.com,0,ecoles_formation,web,1,0,Site moderne,,,
7450,Ocellia Campus Lyon,"
20 Rue de la Claire CP 320, 69009 Lyon, France",Lyon,ecoles_formation,http://www.ocellia.fr/?utm_source=gmb,+33478834088,contactlyon@ocellia.fr,0,ecoles_formation,web,1,15,pas_https(+15),,,
7451,KHEDER,"
7 Rue du Louvre, 75001 Paris, France",Paris,ecoles_formation,http://www.gefor.com/,+33155350020,contact@gefor.com,0,ecoles_formation,web,2,20,pas_https(+15); no_favicon(+5),a_verifier,,
7452,SOREL,"
366 Rue de Vaugirard, 75015 Paris, France",Paris,ecoles_formation,https://clic-competences.fr/,,,0,ecoles_formation,web,4,100,connexion fermée (site injoignable/cassé),a_contacter,,
7453,GRETA METEHOR PARIS,"
70 Bd Bessières, 75017 Paris, France",Paris,ecoles_formation,https://gretametehor.com/,+33144858540,,0,ecoles_formation,web,1,10,no_favicon(+5); no_og(+5),,,
7454,ICS,"
4 Rue Saint-Fiacre, 78000 Versailles, France",Paris,ecoles_formation,https://www.groupe-ics.fr/contact,+33139501420,marketing@idlp.fr,0,ecoles_formation,web,1,10,no_og(+5); no_webp(+5),,,
7455,BITANE,"
40 Rue de la Colonie, 75013 Paris, France",Paris,ecoles_formation,https://www.institutnemo.com/,+33183647639,info@institutnemo.com,0,ecoles_formation,web,1,0,Site moderne,,,
