Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7761,Bistrot Victoires,"6 Rue de la Vrillière, 75001 Paris, France",parisien,Bistro,http://www.paris-bistro.com/choisir/paris1/bistrot-des-victoires,+33 1 42 61 43 78,contact@paris-bistro.com,0,Bistro,web,35,,paris-bistro.com = groupe — grand compte,a_verifier,,
7762,Bistrot Richelieu,"45 Rue de Richelieu, 75001 Paris, France",parisien,Restaurant français,https://www.bistrotrichelieu.com/,0142601916,,,Restaurant français,web,35,,groupe Paris Bistro — grand compte,a_verifier,,
7763,Le Paris Paris,"8 Rue de Montfaucon, 75006 Paris, France",parisien,Restaurant,http://www.leparisparis.fr/,+33 1 43 26 50 56,,,Restaurant,web,2,65,non_responsive(+40); pas_https(+15); no_favicon(+5); no_og(+5),a_verifier,,
7764,Le Compas,"62 Rue Montorgueil, 75002 Paris, France",paris,Restaurant français,http://www.lecompas-restaurant.com/,+33 1 42 33 94 73,lecompas.paris@gmail.com,,Restaurant français,web,4,100,connexion SSL impossible (site cassé),a_contacter,,
7765,L'Amazonial,"3 Rue des Lavandières Sainte-Opportune, 75001 Paris, France",paris,Restaurant,http://www.lamazonial.fr/?utm_source=gmb,0277849420,contact.amazonial@gmail.com,,Restaurant,web,3,40,pas_https(+15); generator_Wix.com Website Builder(+20); no_og(+5),a_contacter,,
7766,JEAN-BAPTISTE,"12 Rue de Richelieu, 75001 Paris, France",paris,Restaurant de nouilles (ramen),https://kodawari-ramen.com/,0143293767,contact@kodawari-ramen.com,,Restaurant de nouilles (ramen),web,1,0,Site moderne,,,
7767,MARQUES,"21 Rue des Halles, 75001 Paris, France",paris,Restaurant,https://carpediem-cafe-paris.fr/,0142210201,,,Restaurant,web,1,0,Site moderne,,,
7768,PATRICK,"1 Rue Perrault, 75001 Paris, France",paris,Bistro,http://www.louvre-ripaille.com/reservation/,+33 1 42 97 49 91,restaurant@louvre-ripaille.com,0,Bistro,web,4,100,DNS introuvable (site cassé),a_contacter,,
7769,Le Bistrot des Halles,"15 Rue des Halles, 75001 Paris, France",paris,Bistro,,+33 1 42 36 91 69,,,Bistro,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7770,Au Pied de Cochon,"6 Rue Coquillière, 75001 Paris, France",paris,Restaurant français,https://www.pieddecochon.com/,0140137700,,,Restaurant français,web,35,,pieddecochon.com = groupe Bertrand — grand compte,a_verifier,,
7771,Brasserie de la Bourse,"27 Rue Jean-Jacques Rousseau, 75001 Paris, France",paris,Brasserie,http://www.brasseriedelabourseparis.com/,0999999999,brasseriedelabourse@gmail.com,,Brasserie,web,3,40,pas_https(+15); generator_Wix.com Website Builder(+20); no_og(+5),a_contacter,,
7772,Mahatma,"6 Pl. du Maréchal Juin, 75017 Paris, France",paris,Restaurant pakistanais,https://www.mahatmaparis.com/,0147426914,info@mahatma.fr,,Restaurant pakistanais,web,2,25,generator_Wix.com Website Builder(+20); no_og(+5),a_verifier,,
7773,Le Mesturet,"77 Rue de Richelieu, 75002 Paris, France",paris,Restaurant français,https://www.lemesturet.com/?utm_source=gmb,0142974068,contact@lemesturet.com,,Restaurant français,web,1,5,no_favicon(+5),,,
7774,Le Paris Paris,"8 Rue de Montfaucon, 75006 Paris, France",paris,Restaurant,http://www.leparisparis.fr/,+33 1 43 26 50 56,,,Restaurant,web,2,65,non_responsive(+40); pas_https(+15); no_favicon(+5); no_og(+5),a_verifier,,
7775,HALLE,"2 Rue de Viarmes, 75001 Paris, France",parisien,Restaurant,https://www.halleauxgrains.bras.fr/,0447202012,halleauxgrains.paris@bras.fr,,Restaurant,web,35,,halleauxgrains.bras.fr = table renommée (Bras) — grand compte,a_verifier,,
7776,Le Nelson's - Louvre,"16 Rue Coquillière, 75001 Paris, France",parisien,Restaurant,https://nelsons.fr/,0485308767,nelsons.paris@gmail.com,,Restaurant,web,1,0,Site moderne,,,
7777,MARANG,"4 Rue de Valois, 75001 Paris, France",parisien,Restaurant,https://www.grandhoteldupalaisroyal.com/fr/page/restaurant-paris-1er.12401.html,+33 1 42 96 72 20,contact@ghprparis.com,,Restaurant,web,35,,grandhoteldupalaisroyal.com = hôtel 5* — grand compte,a_verifier,,
7778,Restaurant Café Joséphine Paris 1,"3 Pl. des Deux Ecus, 75001 Paris, France",parisien,Restaurant,http://www.cafe-josephineparis.fr/,+33 1 89 19 59 89,,,Restaurant,web,2,40,pas_https(+15); generator_Wix.com Website Builder(+20); no_og(+5),a_verifier,,
7779,La Tour Montlhéry - Chez Denise,"5 Rue des Prouvaires, 75001 Paris, France",paris,Restaurant français,,+33 1 42 36 21 82,,,Restaurant français,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7780,Le Baltard,"9 Rue Coquillière, 75001 Paris, France",paris,Restaurant français,https://lebaltard.com/,0140266620,,,Restaurant français,web,1,5,no_favicon(+5),,,
7781,Liberta,"32 Rue du Pont Neuf, 75001 Paris, France",paris,Restaurant italien,http://www.leliberta.fr/,0144829307,contact@leliberta.fr,,Restaurant italien,web,3,40,pas_https(+15); generator_Wix.com Website Builder(+20); no_og(+5),a_contacter,,
