Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7586,Nessia Marais,"6 Rue Charles-François Dupuis, 75003 Paris, France",parisien,Restaurant,https://www.restaurantnessia.com/,0973896017,contact@restaurantnessia.com,65,Restaurant,web,2,25,generator_Wix.com Website Builder(+20); no_og(+5),a_verifier,,
7587,"CHOUKRAN – Restaurant Marocain, Paris 2","69 Rue d'Aboukir, 75002 Paris, France",parisien,Restaurant marocain,https://www.choukran.fr/,0148745457,contact@choukran.fr,,Restaurant marocain,web,2,,308 redirect loop (site injoignable),a_verifier,,
7588,Mugung,"168 Rue St Denis, 75002 Paris, France",parisien,Restaurant coréen,http://mugung.fr/,+33 9 84 01 19 51,contact.mugung@gmail.com,0,Restaurant coréen,web,1,15,pas_https(+15),,,
7589,Echo | All-Day Breakfast & Brunch | Coffee,"95 Rue d'Aboukir, 75002 Paris, France",parisien,Restaurant servant le petit-déjeuner,http://www.echo-paris.com/,+33 1 40 26 53 21,info@echo-paris.com,,Restaurant servant le petit-déjeuner,web,1,15,pas_https(+15),,,
7590,Le Macareux,"15 Rue du Croissant, 75002 Paris, France",parisien,Restaurant,https://lemacareux.fr/,+33 9 74 64 08 10,contact@lemacareux.fr,,Restaurant,web,1,0,Site moderne,,,
7591,Les Cariatides - Restaurant Paris,"3 Rue de Palestro, 75002 Paris, France",parisien,Restaurant français,,+33 1 42 36 19 72,,,Restaurant français,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7592,CRISPY SOUL Paris 2,"289 Rue St Denis, 75002 Paris, France",parisien,Restaurant de hamburgers,https://restaurants.crispysoul.fr/paris-2/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,+33 1 84 60 50 90,contact@crispysoul.fr,,Restaurant de hamburgers,web,35,,crispysoul.fr = réseau — grand compte,a_verifier,,
7593,GROUP,"1 Rue de la Michodière, 75002 Paris, France",parisien,Restaurant français,https://www.fitz-group.fr/fontaine-gaillon-paris,+33 1 83 64 82 94,contact@fitz-group.fr,,Restaurant français,web,35,,fitz-group.fr = groupe Fitz — grand compte,a_verifier,,
7594,Mian Fan Dumpling Factory Paris 2,"15 Bd Montmartre, 75002 Paris, France",parisien,Restaurant asiatique,https://mianfan.fr/restaurant-asiatique-grands-boulevards/,0688012133,contact@mianfan.fr,,Restaurant asiatique,web,1,5,no_og(+5),,,
7595,Petit Bao - Étienne Marcel,"116 Rue St Denis, 75002 Paris, France",parisien,Restaurant chinois,https://www.baofamily.co/petitbao,0682164022,888@baofamily.co,,Restaurant chinois,web,35,,baofamily.co = réseau Bao Family — grand compte,a_verifier,,
7596,Alma - Corse & Tapas,"10 Rue Mandar, 75002 Paris, France",parisien,Restaurant,https://www.restaurant-alma.fr/,0140280248,contact@zenchef.com,,Restaurant,web,1,0,Site moderne,,,
7597,La Brigade - Réaumur - Restaurant Paris,"108 Rue Réaumur, 75002 Paris, France",parisien,Restaurant de viande,https://www.la-brigade.fr/,0275385201,contact@la-brigade.fr,,Restaurant de viande,web,35,,la-brigade.fr = réseau La Brigade — grand compte,a_verifier,,
7598,ACCENTS table bourse,"24 Rue Feydeau, 75002 Paris, France",parisien,Restaurant gastronomique,https://accents-restaurant.com/,0435736889,contact@accents-restaurant.com,,Restaurant gastronomique,web,1,0,Site moderne,,,
7599,L'Apibo,"31 Rue Tiquetonne, 75002 Paris, France",parisien,Restaurant français,http://www.restaurant-lapibo.fr/,0155349450,,,Restaurant français,web,2,20,pas_https(+15); no_webp(+5),a_verifier,,
7600,Little Havana - Street Food Paris 02,"67 Rue d'Argout, 75002 Paris, France",parisien,Restaurant cubain,https://little-havana.site.bykomdab.com/,0994317136,,,Restaurant cubain,web,2,,site sur domaine plateforme (bykomdab) — pas de site propre,a_verifier,,
