Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7850,DÉPLOIE,"
22 Av. Maréchal de Saxe, 69006 Lyon, France",Lyon,immobilier,https://www.arlimlyon6.com/,+33481919090,,0,immobilier,web,1,5,no_og(+5),,,
7851,CHARLES-MARIE,"
1 Pl. Victor Hugo, 75016 Paris, France",Paris,immobilier,https://danielfeau.com/fr/detail-agence-immobiliere/3191,+33184797843,,0,immobilier,web,35,,danielfeau.com = réseau Daniel Féau — grand compte,a_verifier,,
7852,Agence immobilière Guy Hoquet - L'unique agence Guy Hoquet sur Lyon 7 depuis 1998,"
20 Av. Jean Jaurès, 69007 Lyon, France",Lyon,immobilier,https://lyon-7.guy-hoquet.com/,+33472767080,accueilweb@guy-hoquet.com,0,immobilier,web,35,,guy-hoquet.com = réseau Guy Hoquet — grand compte,a_verifier,,
7853,JÉHANNO,"
148 Bd Voltaire, 75011 Paris, France",Paris,immobilier,https://www.laforet.com/agence-immobiliere/paris11voltaire,0932139913,,0,immobilier,web,35,,laforet.com = réseau Laforêt — grand compte,a_verifier,,
7854,SALAH,"
138 Bd de la Croix-Rousse, 69001 Lyon, France",Lyon,immobilier,https://www.human-immobilier.fr/lyon-croix-rousse?utm_campaign=google_my_business_achat&utm_medium=seo&utm_source=google,+33472983031,dpo@human-immobilier.fr,0,immobilier,web,35,,human-immobilier.fr = réseau Human Immobilier — grand compte,a_verifier,,
7855,Connexion Immobilier - Belle de Mai (Marseille 3ème),"
115 Rue Belle de Mai, 13003 Marseille, France",Marseille,immobilier,http://www.connexion-immobilier.com/,+33496122474,,0,immobilier,web,2,20,pas_https(+15); no_favicon(+5),a_verifier,,
7856,SABOURET,"
105 Bd de Sébastopol, 75002 Paris, France",Paris,immobilier,https://www.imop.fr/,+33184258081,laurent@imop.fr,0,immobilier,web,35,,imop.fr = réseau Imop (agence en ligne) — grand compte,a_verifier,,
7857,GUILLAUME,"
97 Bd Raspail, 75006 Paris, France",Paris,immobilier,https://www.orpi.com/luxembourg/nous-contacter/,+33144391010,orpifrance@orpi.com,0,immobilier,web,35,,orpi.com = réseau Orpi — grand compte,a_verifier,,
7858,HOQUET,"
72 Rue Tronchet, 69006 Lyon, France",Lyon,immobilier,https://lyon-6-rhone.guy-hoquet.com/,+33487918959,,0,immobilier,web,35,,guy-hoquet.com = réseau Guy Hoquet — grand compte,a_verifier,,
7859,JÉHANNO,"
52 Rue Montmartre, 75002 Paris, France",Paris,immobilier,https://www.laforet.com/agence-immobiliere/paris2?utm_source=google&utm_medium=mybusiness,0932139913,contact-laforet@laforet.com,0,immobilier,web,35,,laforet.com = réseau Laforêt — grand compte,a_verifier,,
7860,Pierre de Lune Immobilier,"
50 Quai Saint-Vincent, 69001 Lyon, France",Lyon,immobilier,https://pierre-de-lune-immobilier.fr/contact/,+33982580680,,0,immobilier,web,2,,"403 anti-bot (site réel, non analysable)",a_verifier,,
7861,Agence immobilière Laforêt Paris 5Eme,"
44 Rue Monge, 75005 Paris, France",Paris,immobilier,https://www.laforet.com/agence-immobiliere/paris5-monge?utm_source=google&utm_medium=mybusiness,+33155268156,,0,immobilier,web,35,,laforet.com = réseau Laforêt — grand compte,a_verifier,,
7862,Agence immobilière Laforêt Paris 15Eme,"
42 Bd Pasteur, 75015 Paris, France",Paris,immobilier,https://www.laforet.com/agence-immobiliere/paris15pasteur,+33156541400,,0,immobilier,web,35,,laforet.com = réseau Laforêt — grand compte,a_verifier,,
7863,Agence immobilière Laforêt Paris 1Er - ACHAT - VENTE - LOCATION - GESTION LOCATIVE - SYNDIC,"
41 Rue de Richelieu, 75001 Paris, France",Paris,immobilier,https://www.laforet.com/agence-immobiliere/paris1,+33177377411,,0,immobilier,web,35,,laforet.com = réseau Laforêt — grand compte,a_verifier,,
7864,CAMPUZAN,"
35 Rue Saint-Jacques, 13006 Marseille, France",Marseille,immobilier,http://www.mymarseille.com/,+33484251325,,0,immobilier,web,2,25,pas_https(+15); no_favicon(+5); no_og(+5),a_verifier,,
7865,Grand Lyon Immobilier,"
25 Rue Vauban, 69006 Lyon, France",Lyon,immobilier,http://www.grand-lyon-immobilier.fr/,+33981689689,,0,immobilier,web,2,20,pas_https(+15); no_og(+5),a_verifier,,
7866,SAKOUN,"
4 Rue Berthollet, 75005 Paris, France",Paris,immobilier,https://www.vie-immobiliere.fr/,+33143362083,,0,immobilier,web,1,0,Site moderne,,,
7867,Green Home Immobilier Cinq Avenues - Agence Immobilière Marseille 4,"
1 Rue Fondère, 13004 Marseille, France",Marseille,immobilier,http://www.greenhomeimmobilier.fr/,0496124845,contact@greenhomeimmobilier.fr,0,immobilier,web,2,25,pas_https(+15); no_og(+5); no_webp(+5),a_verifier,,
7868,César et Brutus - Agence immobilière Lyon,2 rue de Colmar 94300 Vincennes,Lyon,immobilier,http://www.cesaretbrutus.com/,+33482539988,,0,immobilier,web,2,20,pas_https(+15); no_favicon(+5),a_verifier,,
7869,"Prestige Investissement - Agence Immobilière Paris 17 - Gestion Locative, Achat, Vente & Location","
47 Av. de Villiers, 75017 Paris, France",Paris,immobilier,https://www.prestigeinvest.fr/,+33140360263,,0,immobilier,web,2,,308 redirect loop (site injoignable),a_verifier,,
7870,Agence immobilière Paris 11 Orpi Nouallet,"
15 Ave Parmentier, 75011 Paris, France",Paris,immobilier,https://calendly.com/nouallet-ambroise-immobilier/,+33155252050,,0,immobilier,web,2,,calendly.com = plateforme RDV — pas de site propre,a_verifier,,
7871,JÉHANNO,"
72 Rue Raymond Losserand, 75014 Paris, France",Paris,immobilier,http://www.laforet.com/agence-immobiliere/paris14losserand?utm_source=google&utm_medium=mybusiness&utm_campaign=Laforet-paris14losserand,+33140528040,,0,immobilier,web,35,,laforet.com = réseau Laforêt — grand compte,a_verifier,,
7872,HAUSSY,"
13 Rue de Turenne, 75004 Paris, France",Paris,immobilier,https://www.espaces-atypiques.com/paris-rive-droite/?utm_campaign=GoogleMyBusiness&utm_medium=Local&utm_source=Google,+33142710384,,0,immobilier,web,35,,espaces-atypiques.com = réseau Espaces Atypiques — grand compte,a_verifier,,
