Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7677,Keshu Paris,"141 Rue St Denis, 75002 Paris, France",parisien,Restaurant,http://www.keshu.fr/,+33 1 42 60 09 29,keshu.yan@keshu.fr,,Restaurant,web,4,100,site 404 (cassé/injoignable),a_contacter,,
7678,Chez Georges,"1 Rue du Mail, 75002 Paris, France",parisien,Restaurant français,,+33 1 42 60 07 11,,,Restaurant français,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7679,Pratolina,"11 Bd de Bonne Nouvelle, 75002 Paris, France",parisien,Restaurant italien,http://www.pratolina.fr/,0142360130,contact@pratolina.fr,,Restaurant italien,web,2,20,pas_https(+15); no_og(+5),a_verifier,,
7680,Fleur de pavé,"5 Rue Paul Lelong, 75002 Paris, France",parisien,Restaurant gastronomique,http://www.fleurdepave.com/,+33 1 40 26 38 87,contact@fleurdepave.com,,Restaurant gastronomique,web,1,15,pas_https(+15),,,
7681,Aux Crus de Bourgogne,"3 Rue Bachaumont, 75002 Paris, France",parisien,Restaurant français,http://auxcrusdebourgogne.com/,+33 1 42 33 48 24,reservations@auxcrusdebourgogne.com,,Restaurant français,web,2,20,pas_https(+15); no_favicon(+5),a_verifier,,
7682,Pomelo Bistrot - Restaurant à Paris 2e,"153 Rue Montmartre, 75002 Paris, France",parisien,Bistro,https://pomelobistrot.com/,0140130731,pomelo.bistrot@gmail.com,,Bistro,web,4,100,DNS introuvable (site cassé),a_contacter,,
7683,La Corte,"320 Rue Saint-Honoré, 75001 Paris, France",parisien,Restaurant italien,,+33 1 42 60 45 27,,,Restaurant italien,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7684,FICO,"31 Rue Coquillière, 75001 Paris, France",parisien,Restaurant italien,http://www.ilficoparis.com/,+33 1 44 82 55 23,reservations@ilficoparis.com,,Restaurant italien,web,2,25,pas_https(+15); no_favicon(+5); no_og(+5),a_verifier,,
7685,PHOTOGRAPHIE,"6-8 Rue Duphot, 75001 Paris, France",parisien,Restaurant gastronomique,https://www.leburgundy.com/fr/restaurant-le-baudelaire.html,+33 1 71 19 49 11,contact@leburgundy.com,,Restaurant gastronomique,web,35,,leburgundy.com = hôtel 5* — grand compte,a_verifier,,
7686,Rarita Paris,"100 Rue Saint-Honoré, 75001 Paris, France",parisien,Restaurant italien,https://raritaparis1.com/,0838685771,raritaparis@gmail.com,,Restaurant italien,web,1,5,no_favicon(+5),,,
7687,DAVID,"20 Rue du Louvre, 75001 Paris, France",parisien,Restaurant gastronomique,https://www.anne-sophie-pic.com/paris/#damedepic,+33 1 42 60 40 40,presse@groupe-pic.com,,Restaurant gastronomique,web,35,,anne-sophie-pic.com = groupe Anne-Sophie Pic — grand compte,a_verifier,,
7688,Le Louis,"31 Rue Coquillière, 75001 Paris, France",parisien,Restaurant français,https://le-louis.fr/,+33 1 42 33 56 17,reservation@le-louis.fr,,Restaurant français,web,1,5,no_favicon(+5),,,
7689,CAFE SAINT HONORÉ,"194 Rue Saint-Honoré, 75001 Paris, France",parisien,Restaurant,https://www.cafesainthonore.fr/,0142614931,,,Restaurant,web,2,20,pas_https(+15); no_favicon(+5),a_verifier,,
7690,OPINION,"2 Rue Cambon, 75001 Paris, France",parisien,Brasserie,http://brasserieflottes.fr/fr,0142608089,,,Brasserie,web,1,5,no_og(+5),,,
7691,Le Petit Pontoise,"9 Rue de Pontoise, 75005 Paris, France",parisien,Restaurant français,,+33 1 43 29 25 20,,,Restaurant français,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7692,Le P'tit Bistrot,"8 Rue Saint-Martin, 75004 Paris, France",parisien,Bistro,,+33 1 42 78 55 80,,,Bistro,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7693,Le Tout-Paris,"8 Quai du Louvre, 75001 Paris, France",parisien,Restaurant français,http://letoutparis.fr/?y_source=1_MjM2NzUwMDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+33 1 79 35 50 22,,,Restaurant français,web,35,,letoutparis.fr = groupe Cheval Blanc — grand compte,a_verifier,,
7694,IMMATRICULÉE,"22 Rue du 4 septembre, 75002 Paris, France",paris,Restaurant,https://chimere-4septembre.fr/,+33 1 44 90 91 94,contact@chimere-4septembre.fr,0,Restaurant,web,4,100,erreur 503 persistante (site cassé),a_contacter,,
7695,Tekés,"4 bis Rue Saint-Sauveur, 75002 Paris, France",paris,Restaurant végétarien,http://www.tekesrestaurant.com/,0654734802,contact@tekesrestaurant.com,,Restaurant végétarien,web,3,40,pas_https(+15); generator_Wix.com Website Builder(+20); no_og(+5),a_contacter,,
7696,Chez Georges,"1 Rue du Mail, 75002 Paris, France",paris,Restaurant français,,+33 1 42 60 07 11,,,Restaurant français,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7697,Zinqué,"34 Rue Étienne Marcel, 75002 Paris, France",paris,Restaurant,https://lezinque.fr/,+33 9 74 73 54 13,,0,Restaurant,web,1,0,Site moderne,,,
