Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7542,PITANGA,"11 Rue Jean-Jacques Rousseau, 75001 Paris, France",parisien,Restaurant,https://commands.zenchef.com/articles?rid=354399,+33 1 40 28 12 69,,,Restaurant,web,2,,commands.zenchef.com = plateforme — pas de site propre,a_verifier,,
7543,Mystery Cuisine,"37 bis Rue de Montpensier, 75001 Paris, France",parisien,Restaurant gastronomique,https://mysterycuisine.fr/,+33 1 40 20 03 02,mysterycuisine@gmail.com,,Restaurant gastronomique,web,1,0,Site moderne,,,
7544,Restaurant Omar Dhiab,"23 Rue Hérold, 75001 Paris, France",parisien,Restaurant gastronomique,https://omardhiab.com/,0560751334,restaurant@omardhiab.com,,Restaurant gastronomique,web,1,0,Site moderne,,,
7545,Campelli,"36 Rue Croix des Petits Champs, 75001 Paris, France",parisien,Restaurant gastronomique,https://campelli.paris/,0364779881,maxime.bensimhon@campelli.paris,,Restaurant gastronomique,web,1,0,Site moderne,,,
7546,JOYEUX,"5 Rue de Poissy, 75005 Paris, France",parisien,Restaurant gastronomique,https://www.restaurant-alliance.fr/fr/?utm_source=mybusiness&utm_medium=organic&utm_id=mybusinessorganic,+33 1 75 51 57 54,contact@restaurant-alliance.fr,0,Restaurant gastronomique,web,2,25,copyright 2012(+25),a_verifier,,
7547,La Pie Noir,"5 Rue de la Montagne Ste Geneviève, 75005 Paris, France",parisien,Restaurant français,http://lapienoir.com/,0143540899,,,Restaurant français,web,1,15,pas_https(+15),,,
7548,DUCREUX,"50 Rue de Clignancourt, 75018 Paris, France",parisien,Restaurant français,http://www.sacreefleur.fr/,0142516618,restosacreefleur@gmail.com,,Restaurant français,web,3,40,pas_https(+15); generator_Wix.com Website Builder(+20); no_og(+5),a_contacter,,
7549,Yansai,"88 Rue des Gravilliers, 75003 Paris, France",paris,Restaurant de cuisine fusion asiatique,https://yansai.fr/,+33 1 42 77 80 88,yansai.asian.food@gmail.com,0,Restaurant de cuisine fusion asiatique,web,1,0,Site moderne,,,
7550,"CHOUKRAN – Restaurant Marocain, Paris 2","69 Rue d'Aboukir, 75002 Paris, France",paris,Restaurant marocain,https://www.choukran.fr/,0148745457,contact@choukran.fr,,Restaurant marocain,web,2,,308 redirect loop (site injoignable),a_verifier,,
7551,Armelle Crêperie - Bourse Paris 2,"7 Rue Saint-Marc, 75002 Paris, France",paris,Crêperie,https://www.creperiearmelle.fr/,0343676589,paul.ruello@armellecrepes.com,,Crêperie,web,1,0,Site moderne,,,
7552,Fenouil Paris 2,"8 Rue Poissonnière, 75002 Paris, France",paris,Restaurant,https://fenouil-paris.fr/,+33 6 33 33 37 36,contact@fenouil-paris.fr,0,Restaurant,web,1,10,no_favicon(+5); no_og(+5),,,
7553,Big Black Cook,"5 Rue Tiquetonne, 75002 Paris, France",paris,Restaurant caribéen,,+33 1 42 33 74 92,,,Restaurant caribéen,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7554,Restaurant Panurge,"24 Rue du Sentier, 75002 Paris, France",paris,Restaurant français,https://www.restaurant-panurge.com/,+33 1 73 74 77 28,,0,Restaurant français,web,2,25,generator_Wix.com Website Builder(+20); no_og(+5),a_verifier,,
7555,Empreinte,"3 Rue Saint-Augustin, 75002 Paris, France",paris,Restaurant gastronomique,https://www.empreinte-paris.com/,0223337494,contact@empreinte-paris.com,,Restaurant gastronomique,web,2,25,generator_Wix.com Website Builder(+20); no_og(+5),a_verifier,,
7556,Zakuro,"4 Rue de Port-Mahon, 75002 Paris, France",paris,Restaurant japonais authentique,,+33 9 81 13 27 72,,,Restaurant japonais authentique,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7557,YOULIN,"11 Rue Tiquetonne, 75002 Paris, France",paris,Restaurant gastronomique,http://www.restaurant-erh.com/,0145084937,contact@restaurant-erh.com,,Restaurant gastronomique,web,1,5,no_webp(+5),,,
7558,Le Galibot,"17 Rue Paul Lelong, 75002 Paris, France",paris,Restaurant,,+33 1 42 60 30 25,,,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7559,EnYaa - Saké & Champagne,"37 Gal de Montpensier, 75001 Paris, France",paris,Restaurant gastronomique japonais (kaiseki),https://www.enyaa-paris.fr/,0418178786,contact@enyaa-paris.com,,Restaurant gastronomique japonais (kaiseki),web,1,5,no_favicon(+5),,,
7560,La Maison du Daya,"53 Rue de Richelieu, 75001 Paris, France",paris,Restaurant,,+33 1 47 03 93 68,,,Restaurant,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
7561,SYLVAIN,"42 Bd Pereire, 75017 Paris, France",paris,Restaurant,https://www.restaurant-lecompositeur.fr/,0171734644,sylvain.maupou@sfr.fr,,Restaurant,web,4,100,erreur 500 persistante (site cassé),a_contacter,,
